domain,education_level,coding_score,communication_score,teamwork_score,discipline_score,attendance_pct,hours_logged,project_quality,prior_experience,mentor_rating,performance_label
AI/ML,Bachelor's,82,74,81,88,91,58,84,1,79,Excellent
AI/ML,Bachelor's,76,71,75,82,89,55,80,0,76,Good
Data Science,Master's,69,65,70,75,84,48,72,1,70,Good
Web Development,Diploma,54,60,62,68,72,40,58,0,62,Needs Improvement
Product,Bachelor's,88,85,86,90,94,64,90,1,88,Excellent
Marketing,Bachelor's,63,72,70,71,79,46,68,0,68,Good
UX Research,Diploma,57,70,68,66,75,42,64,0,63,Needs Improvement
AI/ML,Master's,92,88,90,95,97,70,94,1,92,Excellent
Web Development,Bachelor's,78,73,76,79,86,50,82,1,77,Good
Data Science,Bachelor's,81,78,80,84,90,56,86,1,80,Excellent
Product,Master's,74,76,78,80,87,52,79,1,75,Good
Marketing,Diploma,49,58,60,63,70,38,55,0,60,Needs Improvement
AI/ML,Bachelor's,83,79,82,87,92,60,88,1,84,Excellent
Web Development,Master's,80,75,78,81,88,54,84,1,79,Good
Data Science,Diploma,58,64,66,69,76,44,62,0,65,Needs Improvement
UX Research,Bachelor's,72,80,79,77,84,51,75,1,74,Good
Product,Bachelor's,90,84,87,91,96,68,92,1,90,Excellent
Marketing,Bachelor's,66,73,71,74,82,47,70,0,70,Good
AI/ML,Diploma,60,62,64,67,78,41,60,0,61,Needs Improvement
Web Development,Bachelor's,86,82,84,88,93,63,89,1,86,Excellent
Data Science,Master's,77,75,77,82,89,53,80,1,78,Good
Product,Diploma,61,68,65,72,80,45,66,0,67,Good
UX Research,Bachelor's,84,86,83,85,90,61,87,1,82,Excellent
Marketing,Master's,71,74,72,76,85,49,74,1,72,Good
AI/ML,Bachelor's,79,70,77,81,88,57,81,1,78,Good
Web Development,Master's,89,83,85,89,95,66,91,1,89,Excellent
Data Science,Bachelor's,73,71,74,77,83,48,77,1,73,Good
Product,Bachelor's,87,81,83,88,94,62,90,1,87,Excellent
UX Research,Diploma,55,67,64,65,74,40,58,0,62,Needs Improvement
Marketing,Bachelor's,68,75,73,75,86,50,72,1,71,Good
AI/ML,Master's,94,90,92,96,98,74,96,1,94,Excellent
Web Development,Bachelor's,75,69,72,78,85,52,79,0,73,Good
Data Science,Master's,82,80,81,85,91,58,84,1,82,Excellent
Product,Diploma,59,66,64,70,77,43,63,0,64,Needs Improvement
UX Research,Bachelor's,80,83,82,84,89,60,85,1,80,Excellent
Marketing,Bachelor's,65,69,68,72,81,46,67,0,67,Good
AI/ML,Diploma,62,63,64,68,79,42,61,0,62,Needs Improvement
Web Development,Master's,91,87,89,92,97,69,93,1,91,Excellent
Data Science,Bachelor's,70,68,72,76,82,47,74,0,71,Good
Product,Master's,85,82,84,87,92,61,88,1,84,Excellent
UX Research,Bachelor's,77,81,79,81,88,55,80,1,77,Good
Marketing,Diploma,53,61,62,64,73,39,59,0,59,Needs Improvement
AI/ML,Bachelor's,86,80,84,89,93,64,88,1,85,Excellent
Web Development,Diploma,56,58,61,66,75,38,57,0,58,Needs Improvement
Data Science,Bachelor's,78,76,78,82,87,54,81,1,78,Good
Product,Master's,88,84,87,90,95,67,91,1,89,Excellent
UX Research,Bachelor's,71,77,75,78,86,49,74,1,72,Good
Marketing,Bachelor's,64,70,69,73,80,45,69,0,69,Good
AI/ML,Master's,93,89,91,94,97,72,95,1,93,Excellent
Web Development,Bachelor's,74,70,73,78,84,50,76,1,74,Good
Data Science,Diploma,52,63,60,67,74,41,60,0,61,Needs Improvement
Product,Bachelor's,83,79,82,85,91,60,87,1,82,Excellent
UX Research,Master's,79,84,81,83,89,58,82,1,79,Good
Marketing,Bachelor's,67,72,71,74,83,48,71,1,71,Good
AI/ML,Bachelor's,84,79,83,88,92,62,89,1,83,Excellent
Web Development,Master's,88,82,86,90,96,67,92,1,87,Excellent
Data Science,Bachelor's,72,70,73,78,84,49,76,1,73,Good
Product,Diploma,60,65,63,69,76,44,64,0,63,Needs Improvement
UX Research,Bachelor's,76,82,80,82,89,56,81,1,78,Good
Marketing,Diploma,51,59,61,63,72,37,58,0,60,Needs Improvement
AI/ML,Master's,90,87,88,92,96,68,93,1,90,Excellent
Web Development,Bachelor's,77,72,76,80,87,53,79,0,75,Good
Data Science,Master's,84,81,83,86,92,59,87,1,83,Excellent
Product,Bachelor's,81,78,80,84,90,57,86,1,79,Good
UX Research,Master's,85,88,84,86,93,63,88,1,84,Excellent
Marketing,Bachelor's,62,68,67,71,78,44,66,0,66,Good
AI/ML,Diploma,58,61,63,67,77,40,59,0,60,Needs Improvement
Web Development,Bachelor's,82,77,80,83,90,59,85,1,80,Excellent
Data Science,Bachelor's,75,74,76,79,86,51,78,1,74,Good
Product,Master's,89,85,88,91,95,69,92,1,89,Excellent
UX Research,Diploma,54,66,63,65,73,39,57,0,61,Needs Improvement
Marketing,Bachelor's,69,73,72,75,84,47,71,1,70,Good
AI/ML,Bachelor's,85,81,84,89,94,63,90,1,86,Excellent
Web Development,Master's,87,83,85,89,94,65,90,1,88,Excellent
Data Science,Bachelor's,74,72,75,79,85,50,77,1,74,Good
Product,Bachelor's,86,82,85,88,93,64,89,1,86,Excellent
UX Research,Diploma,57,65,62,66,74,42,60,0,62,Needs Improvement
Marketing,Master's,73,76,74,77,87,52,75,1,73,Good
